"Name","Age","Level","Team","G","GS","W","L","IP","SV","SO","SO9","ERA","WHIP","ER","R","H","BB","Pit"
"Ryan Pressly",34,"Maj-AL","Houston",9,0,0,2,8.1,1,8,8.6,5.4,0.84,5,5,5,2,140
"Dauri Moreta",27,"Maj-NL","Pittsburgh",9,0,1,0,8,1,11,12.4,4.5,1.875,4,4,6,9,173
"Brad Boxberger",35,"Maj-NL","Chicago",9,0,0,0,8,1,8,9,4.5,1.375,4,4,6,5,145
"Matt Bush",37,"Maj-NL","Milwaukee",9,0,0,1,7.2,1,8,9.4,8.22,1.565,7,7,6,6,155
"Giovanny Gallegos",31,"Maj-NL","St. Louis",7,0,1,0,7.1,1,11,13.5,0,0.273,0,0,2,0,93
"Garrett Hill",27,"Maj-AL","Detroit",5,0,0,0,7,1,7,9,10.29,1.714,8,10,7,5,130
"Yennier Cano",29,"Maj-AL","Baltimore",6,0,0,0,7,1,9,11.6,0,0,0,0,0,0,81
"Dany Jiménez",29,"Maj-AL","Oakland",7,0,0,0,6.2,1,4,5.4,5.4,1.5,4,4,4,6,130
"Taylor Rogers",32,"Maj-NL","San Francisco",10,0,0,2,6.1,1,4,5.7,9.95,1.737,7,8,5,6,130
"Tim Mayza",31,"Maj-AL","Toronto",10,0,0,0,6.1,1,6,8.5,1.42,1.421,1,1,9,0,97
"Andrés Muñoz",24,"Maj-AL","Seattle",4,0,0,0,3.1,1,3,8.1,0,1.5,0,0,4,1,49
"Brent Headrick",25,"Maj-AL","Minnesota",2,0,0,0,3.1,1,4,10.8,2.7,0.9,1,1,1,2,50
"Braden Bristo",28,"Maj-AL","Tampa Bay",1,0,0,0,3,1,4,12,0,0.333,0,0,0,1,42
